1;1, 0.00510204081632648, 0.75765306122449
2;0.852604100343818, 0.490175239252025, 1
3;1, 0.255393612666684, 0.94342228796681
4;0.952470815576676, 0.38440060531869, 1
5;1, 0.327281685851616, 0.995077235549075
6;0.97854110629628, 0.356828205061264, 1
7;0.991631780746411, 0.342983299067064, 1
8;0.985093404940615, 0.349898389549621, 1
9;0.988347005257361, 0.346457329987834, 1
10;0.986724957325308, 0.348172833738413, 1
11;0.98753286608862, 0.347318376551174, 1
12;0.987130278162655, 0.347744159959472, 1
13;0.987330845241425, 0.347532037019654, 1
14;0.987230912421399, 0.347637727563178, 1
15;0.987280701252508, 0.347585070101695, 1
16;0.987255894607728, 0.347611306004666, 1
17;0.987268254024918, 0.34759823448802, 1
18;0.987262096147888, 0.347604747156931, 1
19;0.987265164198428, 0.347601502337772, 1
20;0.987263635595224, 0.347603119012888, 1
lambda;5.7851533758566
