1;-1, 0.225728155339806, -0.604368932038835
2;-0.739959763421017, -0.608969025901667, -1
3;-1, -0.173591064095121, -0.884649701547426
4;-0.921289566757739, -0.417378289277418, -1
5;-1, -0.304962650322255, -0.979040553833171
6;-0.970574613042596, -0.36525369529386, -1
7;-0.995658604532214, -0.338724466037684, -1
8;-0.983101503798239, -0.35200505595139, -1
9;-0.989342997910985, -0.34540395227989, -1
10;-0.986229607138213, -0.348696723992836, -1
11;-0.987779885323614, -0.347057125070424, -1
12;-0.98700725972222, -0.347874266223156, -1
13;-0.987392150560071, -0.347467199537364, -1
14;-0.987200371484247, -0.347670028145173, -1
15;-0.987295918572653, -0.347568976021325, -1
16;-0.987248313052272, -0.347619324378577, -1
17;-0.987272031453233, -0.347594239419617, -1
18;-0.987260214123314, -0.347606737616123, -1
19;-0.987266101887298, -0.347600510623075, -1
20;-0.987263168408994, -0.347603613116492, -1
lambda;5.78515304542514
