1;3.01577, -0.59642, 3.1855
2;17.1062516222, -4.8700460864, 12.8331857768
3;88.663402471123, -24.8538509689182, 61.3177585235193
4;447.301784987597, -124.551110351457, 304.969785175018
5;2245.22692453228, -624.346137243254, 1527.34657897358
6;11260.5473635145, -3130.59687101869, 7657.53198322912
7;56468.1008679458, -15698.4091488483, 38398.1790077444
8;283164.340683956, -78720.6633752497, 192549.6877231
9;1419948.92198327, -394750.393283068, 965553.890589054
10;7120437.95716166, -1979504.56167572, 4841840.02124817
11;35705955.9910711, -9926369.98476394, 24279759.7486318
12;179050121.650516, -49776506.4632481, 121752626.479778
13;897859898.557461, -249607923.28228, 610537428.307369
14;4502383968.60909, -1251677142.47552, 3061584478.47434
15;22577532901.1233, -6276626352.31883, 15352538738.0571
16;113216685972.021, -31474600781.4755, 76986425611.2361
17;567733332008.246, -157831681981.134, 386054048097.338
18;2846940214738.46, -791458484571.358, 1935896190387.66
19;14276189417353.5, -3968826315079.56, 9707692688181.8
20;71588993413014.2, -19901969119452.7, 48679933250608.5
lambda;5.01457295922353
