1;1, 0.571428571428571, 0.285714285714286
2;1, 0.513513513513514, 0.108108108108108
3;1, 0.502673796791444, 0.0427807486631016
4;1, 0.500533617929562, 0.0170757737459979
5;1, 0.500106678045658, 0.00682739492212503
6;1, 0.500021333788454, 0.00273072492213167
7;1, 0.500004266684871, 0.00109227132702433
8;1, 0.500000853334062, 0.000436907039494007
9;1, 0.500000170666696, 0.000174762696492834
10;1, 0.500000034133334, 6.99050690527597e-05
11;1, 0.500000006826667, 2.79620268575541e-05
12;1, 0.500000001365333, 1.11848106819377e-05
13;1, 0.500000000273067, 4.47392426788835e-06
14;1, 0.500000000054613, 1.7895697067644e-06
15;1, 0.500000000010923, 7.15827882674486e-07
16;1, 0.500000000002184, 2.86331153067292e-07
17;1, 0.500000000000437, 1.14532461226717e-07
18;1, 0.500000000000087, 4.58129844906707e-08
19;1, 0.500000000000017, 1.8325193796267e-08
20;1, 0.500000000000004, 7.33007751850669e-09
lambda;5.00000000000001
