1;88, -80
2;64, 640
3;5632, -5120
4;4096, 40960
5;360448, -327680
6;262144, 2621440
7;23068672, -20971520
8;16777216, 167772160
9;1476395008, -1342177280
10;1073741824, 10737418240
11;94489280512, -85899345920
12;68719476736, 687194767360
13;6047313952768, -5497558138880
14;4398046511104, 43980465111040
15;387028092977152, -351843720888320
16;281474976710656, 2.81474976710656e+15
17;2.47697979505377e+16, -2.25179981368525e+16
18;1.8014398509482e+16, 1.8014398509482e+17
19;1.58526706883441e+18, -1.44115188075856e+18
20;1.15292150460685e+18, 1.15292150460685e+19
lambda;-7.04950495049505
